value	comparedValue	type	id	title	uri
984	1381	20	88f9af56-d2c4-47e7-8d9c-3d831da6f5f5	Connecting a Domain Purchased Elsewhere	/article/connecting-a-domain-purchased-elsewhere
843	1166	20	e72873df-9108-4665-a12b-6b077e9d453f	Connecting a Domain to the Wix Name Servers	/article/connecting-a-domain-to-the-wix-name-servers
794	945	20	8ec212e3-114d-4b8c-9e1e-ec5634b20cb8	Adding HTML Code	/article/adding-html-code
588	784	20	8d62a3cd-3a66-4a94-a97c-22c4d7e44524	Transferring Site Ownership to Another Wix Account	/article/transferring-site-ownership-to-another-wix-account
565	815	20	2a80c066-8f86-459f-85ef-c59d0128ffcd	Transferring a Domain Purchased Elsewhere to Wix	/article/transferring-a-domain-purchased-elsewhere-to-wix
382	465	20	5358847b-2d40-4fb7-bb04-b562b91758e7	Assigning a Premium Plan to a Different Site in Your Wix Account	/article/assigning-a-premium-plan-to-a-different-site-in-your-wix-account
347	442	20	3893d48d-5736-490f-8663-5c675b16200b	Upgrading Your Site to Premium	/article/upgrading-your-site-to-premium-3066683
248	332	20	ac7db61c-4b9e-4d85-bfc2-f00218f0cefa	Checking if Your Premium Plan is Refundable	/article/checking-if-your-premium-plan-is-refundable
247	371	20	93269015-9304-4f05-9cc4-1380967c0a87	Connecting a Domain to Wix Using Pointing	/article/connecting-a-domain-to-wix-using-pointing-5342238
235	339	20	f62dcd44-5c38-4b28-b6b3-e063f55b4f63	Unable to Sign In to Your Wix Account: Forgot Password	/article/unable-to-sign-in-to-your-wix-account-forgot-password
153	183	20	093d060d-02a1-40cd-8ba4-46168f2e3e3e	Unable to Access Your Live Site	/article/unable-to-access-your-live-site
145	181	20	0a58260b-116a-40a1-82cb-412807b9f22c	Removing a Domain from Your Wix Account	/article/removing-a-domain-from-your-wix-account
137	172	20	3ae922bb-f2f4-4e7f-94ae-433a64e9e51a	Refund Policy for Premium Plans	/article/refund-policy-for-premium-plans
116	184	20	50ec87fa-a4b9-41f9-ba03-0c5b67a1a02e	Calling Wix Support	/article/calling-wix-support
116	198	20	e817d0cb-22a2-4ed1-a3e0-f24603999aa7	About Domain Propagation	/article/about-domain-propagation
110	147	20	84590ba1-1da3-4b8a-919d-59f8ecce045e	Assigning a Domain to Your Wix Site	/article/assigning-a-domain-to-your-wix-site
104	139	20	12531907-d8fd-4468-89bb-ee8f04754a16	Cancelling a Wix Domain	/article/cancelling-a-wix-domain
103	146	20	14f00abb-984b-4740-926d-b8cea2cfb161	Viewing Invoices for Wix Services	/article/viewing-invoices-for-wix-services
97	138	20	a45e4ba6-b9a3-431e-be56-330ab1d4af73	Troubleshooting: Outdated Info and Thumbnail on Facebook	/article/troubleshooting-outdated-info-and-thumbnail-on-facebook
91	116	20	0d6d4c3b-6ca6-4cea-80c3-eb88a9f62fd2	Turning Off the Auto Renewal for a Wix Premium Plan	/article/turning-off-the-auto-renewal-for-a-wix-premium-plan
89	140	20	9980685e-39b7-404a-9a0e-c93507c41350	Connecting a Wix Domain to an External Site	/article/connecting-a-wix-domain-to-an-external-site
61	103	20	2d48372f-6a72-4831-9127-22fd21d04cf9	Mobile Site Issues	/article/mobile-site-issues
58	90	20	f887f869-2eaf-4516-9d50-818e7653e373	Wix Mega Sale 2017	/article/wix-mega-sale-2017
53	75	20	7d7ffe6c-491a-4d98-8af2-87f09d66e17e	Opening Your Browser in Incognito/Private Browsing Mode	/article/opening-your-browser-in-incognitoprivate-browsing-mode
45	56	20	f4960f50-647d-451d-a87e-85bd7a911fc6	Adding a Screenshot to a Ticket	/article/adding-a-screenshot-to-a-ticket
44	45	20	1d3c4429-b88c-4b6a-aec7-84e85a12639b	Contact Form Issues	/article/contact-form-issues
42	40	20	e6db14fb-2433-4bc2-a9f4-3338da87e265	Editor Issues	/article/editor-issues
40	31	20	d0a322df-73d4-4e1a-85e7-4c889147870e	The Flash Editor Is No Longer Supported	/article/the-flash-editor-is-no-longer-supported
26	28	20	1bf74270-add1-41ea-93c0-dc7ebf8b6b4a	Wix Site and Content Ownership	/article/wix-site-and-content-ownership
22	18	20	68d257fb-2c1d-47a4-84ac-b8e832b5b3a9	Alignment Issues in Different Browsers	/article/alignment-issues-in-different-browsers-3173636
12	25	20	9ea37042-8609-456c-94ee-b21e616761a4	Hidden Elements in the Mobile Editor	/article/hidden-elements-in-the-mobile-editor-8305371
10	11	20	40dc0ecd-bb8f-4a36-b7ff-8e8ec2b3fdf1	Cancelling Your Premium Plan and Domain	/article/cancelling-your-premium-plan-and-domain
7	5	20	e67fd532-7603-4a52-b4f7-b49440be9187	Refund Policy for G Suite Mailboxes	/article/refund-policy-for-g-suite-mailboxes
3	3	20	21f332a6-741d-4118-9880-85b25564133a	Adding a Video to a Ticket	/article/adding-a-video-to-a-ticket
3	0	20	152fed72-d762-46ee-969e-10545a22b211	(Internal) Failed Trustwave Security Audit	/article/internal-failed-trustwave-security-audit
1	0	20	3cc21c85-2f45-4e1a-9820-ac6945d2d7f0	(Internal) Multiple Tickets from Single User	/article/internal-multiple-tickets-from-single-user
0	0	20	48ed715c-9d4d-4079-89a5-34af576639ed	(Internal) Account Access: Wrong Wix Login or Confirming Login Credentials	/article/internal-account-access-wrong-wix-login-or-confirming-login-credentials
0	0	20	ebe6b79e-550b-4586-a1e2-e9d23810e622	(Internal) Account Access: Premium Account Access	/article/internal-account-access-premium-account-access
0	0	20	ef897594-2623-4a35-9db8-cb14cc1e174a	(Internal) Search for Unknown Charge	/article/internal-search-for-unknown-charge
0	0	20	e6d9bd64-4991-473c-9d63-e8b156c3c7d9	(Internal) Account Access: Free Account Access	/article/internal-account-access-free-account-access
